Warehouse,WorkCode,Scenario,Train_End_Date,Test_Date,Train_Days_Count,Train_Rows,Test_Rows,R^2,MAE
OE,10,Actual Distance,2025-11-10,2025-11-11,3,1625,563,0.326,32.22
OE,10,TSP Optimized,2025-11-10,2025-11-11,3,1625,563,0.1891,36.83
OE,10,Without Distance,2025-11-10,2025-11-11,3,1625,563,0.1211,38.87
OE,10,Actual Distance,2025-11-11,2025-11-12,4,2188,483,0.2194,36.3
OE,10,TSP Optimized,2025-11-11,2025-11-12,4,2188,483,-0.0161,43.31
OE,10,Without Distance,2025-11-11,2025-11-12,4,2188,483,-0.1077,45.97
OE,10,Actual Distance,2025-11-12,2025-11-13,5,2671,427,0.2972,31.12
OE,10,TSP Optimized,2025-11-12,2025-11-13,5,2671,427,0.0901,36.55
OE,10,Without Distance,2025-11-12,2025-11-13,5,2671,427,0.0259,38.38
OE,10,Actual Distance,2025-11-13,2025-12-01,6,3098,501,0.3051,34.33
OE,10,TSP Optimized,2025-11-13,2025-12-01,6,3098,501,0.0723,40.64
OE,10,Without Distance,2025-11-13,2025-12-01,6,3098,501,0.0037,43.84
OE,10,Actual Distance,2025-12-01,2025-12-02,7,3599,483,0.272,39.84
OE,10,TSP Optimized,2025-12-01,2025-12-02,7,3599,483,0.1725,44.21
OE,10,Without Distance,2025-12-01,2025-12-02,7,3599,483,0.0686,46.96
OE,20,Actual Distance,2025-11-10,2025-11-11,3,8613,2026,0.621,16.35
OE,20,TSP Optimized,2025-11-10,2025-11-11,3,8613,2026,0.2623,24.27
OE,20,Without Distance,2025-11-10,2025-11-11,3,8613,2026,-0.1031,34.36
OE,20,Actual Distance,2025-11-11,2025-11-12,4,10639,2274,0.6085,15.54
OE,20,TSP Optimized,2025-11-11,2025-11-12,4,10639,2274,0.2929,22.52
OE,20,Without Distance,2025-11-11,2025-11-12,4,10639,2274,-0.092,32.57
OE,20,Actual Distance,2025-11-12,2025-11-13,5,12913,2433,0.6247,16.07
OE,20,TSP Optimized,2025-11-12,2025-11-13,5,12913,2433,0.2844,24.36
OE,20,Without Distance,2025-11-12,2025-11-13,5,12913,2433,-0.1056,34.13
OE,20,Actual Distance,2025-11-13,2025-12-01,6,15346,2964,0.6046,15.13
OE,20,TSP Optimized,2025-11-13,2025-12-01,6,15346,2964,0.29,21.81
OE,20,Without Distance,2025-11-13,2025-12-01,6,15346,2964,-0.0672,33.4
OE,20,Actual Distance,2025-12-01,2025-12-02,7,18310,3024,0.6604,15.1
OE,20,TSP Optimized,2025-12-01,2025-12-02,7,18310,3024,0.2895,23.27
OE,20,Without Distance,2025-12-01,2025-12-02,7,18310,3024,-0.108,33.08
OE,30,Actual Distance,2025-11-10,2025-11-11,3,25466,6779,0.3719,21.09
OE,30,TSP Optimized,2025-11-10,2025-11-11,3,25466,6779,0.0994,25.24
OE,30,Without Distance,2025-11-10,2025-11-11,3,25466,6779,0.0353,26.49
OE,30,Actual Distance,2025-11-11,2025-11-12,4,32245,7159,0.3444,21.26
OE,30,TSP Optimized,2025-11-11,2025-11-12,4,32245,7159,0.0962,24.94
OE,30,Without Distance,2025-11-11,2025-11-12,4,32245,7159,0.0496,25.88
OE,30,Actual Distance,2025-11-12,2025-11-13,5,39404,8265,0.3716,19.99
OE,30,TSP Optimized,2025-11-12,2025-11-13,5,39404,8265,0.1369,23.73
OE,30,Without Distance,2025-11-12,2025-11-13,5,39404,8265,0.0796,24.99
OE,30,Actual Distance,2025-11-13,2025-12-01,6,47669,10765,0.3125,21.2
OE,30,TSP Optimized,2025-11-13,2025-12-01,6,47669,10765,0.106,24.35
OE,30,Without Distance,2025-11-13,2025-12-01,6,47669,10765,0.0648,25.15
OE,30,Actual Distance,2025-12-01,2025-12-02,7,58434,6864,0.3734,20.56
OE,30,TSP Optimized,2025-12-01,2025-12-02,7,58434,6864,0.1207,24.42
OE,30,Without Distance,2025-12-01,2025-12-02,7,58434,6864,0.0669,25.28
OF,10,Actual Distance,2025-09-08,2025-09-09,3,867,458,0.4919,24.91
OF,10,TSP Optimized,2025-09-08,2025-09-09,3,867,458,0.31,32.29
OF,10,Without Distance,2025-09-08,2025-09-09,3,867,458,-0.1496,48.88
OF,10,Actual Distance,2025-09-09,2025-11-10,4,1325,720,0.4967,27.16
OF,10,TSP Optimized,2025-09-09,2025-11-10,4,1325,720,0.3061,34.68
OF,10,Without Distance,2025-09-09,2025-11-10,4,1325,720,0.0385,43.96
OF,10,Actual Distance,2025-11-10,2025-11-11,5,2045,584,0.5686,21.23
OF,10,TSP Optimized,2025-11-10,2025-11-11,5,2045,584,0.4122,27.3
OF,10,Without Distance,2025-11-10,2025-11-11,5,2045,584,0.0512,40.74
OF,10,Actual Distance,2025-11-11,2025-11-12,6,2629,483,0.5279,24.85
OF,10,TSP Optimized,2025-11-11,2025-11-12,6,2629,483,0.4502,28.6
OF,10,Without Distance,2025-11-11,2025-11-12,6,2629,483,0.051,44.47
OF,10,Actual Distance,2025-11-12,2025-11-13,7,3112,641,0.5376,23.01
OF,10,TSP Optimized,2025-11-12,2025-11-13,7,3112,641,0.3443,29.42
OF,10,Without Distance,2025-11-12,2025-11-13,7,3112,641,0.0515,41.26
OF,10,Actual Distance,2025-11-13,2025-12-01,8,3753,457,0.4478,30.39
OF,10,TSP Optimized,2025-11-13,2025-12-01,8,3753,457,0.2404,37.33
OF,10,Without Distance,2025-11-13,2025-12-01,8,3753,457,-0.0508,47.44
OF,10,Actual Distance,2025-12-01,2025-12-02,9,4210,466,0.5649,24.38
OF,10,TSP Optimized,2025-12-01,2025-12-02,9,4210,466,0.3197,32.15
OF,10,Without Distance,2025-12-01,2025-12-02,9,4210,466,-0.0211,46.13
OF,20,Actual Distance,2025-09-09,2025-11-10,3,10196,5029,0.6676,14.49
OF,20,TSP Optimized,2025-09-09,2025-11-10,3,10196,5029,0.4287,20.11
OF,20,Without Distance,2025-09-09,2025-11-10,3,10196,5029,0.0382,32.34
OF,20,Actual Distance,2025-11-10,2025-11-11,4,15225,4312,0.631,15.98
OF,20,TSP Optimized,2025-11-10,2025-11-11,4,15225,4312,0.4117,21.65
OF,20,Without Distance,2025-11-10,2025-11-11,4,15225,4312,0.0102,33.47
OF,20,Actual Distance,2025-11-11,2025-11-12,5,19537,4359,0.6601,15.73
OF,20,TSP Optimized,2025-11-11,2025-11-12,5,19537,4359,0.4063,21.81
OF,20,Without Distance,2025-11-11,2025-11-12,5,19537,4359,-0.0359,35.4
OF,20,Actual Distance,2025-11-12,2025-11-13,6,23896,4765,0.648,14.76
OF,20,TSP Optimized,2025-11-12,2025-11-13,6,23896,4765,0.4167,20.68
OF,20,Without Distance,2025-11-12,2025-11-13,6,23896,4765,0.0031,31.46
OF,20,Actual Distance,2025-11-13,2025-11-30,7,28661,809,0.5643,15.09
OF,20,TSP Optimized,2025-11-13,2025-11-30,7,28661,809,0.4625,18.12
OF,20,Without Distance,2025-11-13,2025-11-30,7,28661,809,-0.0386,28.59
OF,20,Actual Distance,2025-11-30,2025-12-01,8,29470,5728,0.6225,15.0
OF,20,TSP Optimized,2025-11-30,2025-12-01,8,29470,5728,0.4119,19.57
OF,20,Without Distance,2025-11-30,2025-12-01,8,29470,5728,-0.0269,29.92
OF,20,Actual Distance,2025-12-01,2025-12-02,9,35198,4329,0.623,14.54
OF,20,TSP Optimized,2025-12-01,2025-12-02,9,35198,4329,0.408,19.14
OF,20,Without Distance,2025-12-01,2025-12-02,9,35198,4329,-0.0018,29.68
OF,20,Actual Distance,2025-12-02,2025-12-03,10,39527,611,0.6046,16.62
OF,20,TSP Optimized,2025-12-02,2025-12-03,10,39527,611,0.4965,19.55
OF,20,Without Distance,2025-12-02,2025-12-03,10,39527,611,-0.0447,39.3
OF,30,Actual Distance,2025-09-09,2025-11-10,3,19204,9871,0.2747,27.8
OF,30,TSP Optimized,2025-09-09,2025-11-10,3,19204,9871,0.0526,32.21
OF,30,Without Distance,2025-09-09,2025-11-10,3,19204,9871,-0.0266,33.84
OF,30,Actual Distance,2025-11-10,2025-11-11,4,29075,8328,0.3567,26.47
OF,30,TSP Optimized,2025-11-10,2025-11-11,4,29075,8328,0.1338,31.12
OF,30,Without Distance,2025-11-10,2025-11-11,4,29075,8328,0.0648,32.77
OF,30,Actual Distance,2025-11-11,2025-11-12,5,37403,8609,0.3189,28.51
OF,30,TSP Optimized,2025-11-11,2025-11-12,5,37403,8609,0.079,33.56
OF,30,Without Distance,2025-11-11,2025-11-12,5,37403,8609,0.006,35.3
OF,30,Actual Distance,2025-11-12,2025-11-13,6,46012,8382,0.3176,27.66
OF,30,TSP Optimized,2025-11-12,2025-11-13,6,46012,8382,0.084,32.2
OF,30,Without Distance,2025-11-12,2025-11-13,6,46012,8382,0.0248,33.67
OF,30,Actual Distance,2025-11-13,2025-11-30,7,54394,2724,0.3315,27.12
OF,30,TSP Optimized,2025-11-13,2025-11-30,7,54394,2724,0.1349,31.72
OF,30,Without Distance,2025-11-13,2025-11-30,7,54394,2724,0.0317,34.04
OF,30,Actual Distance,2025-11-30,2025-12-01,8,57118,9943,0.2779,27.99
OF,30,TSP Optimized,2025-11-30,2025-12-01,8,57118,9943,0.0706,32.11
OF,30,Without Distance,2025-11-30,2025-12-01,8,57118,9943,0.0167,33.39
OF,30,Actual Distance,2025-12-01,2025-12-02,9,67061,8093,0.3501,26.47
OF,30,TSP Optimized,2025-12-01,2025-12-02,9,67061,8093,0.1571,30.87
OF,30,Without Distance,2025-12-01,2025-12-02,9,67061,8093,0.0771,32.61
OF,30,Actual Distance,2025-12-02,2025-12-03,10,75154,304,0.4155,28.74
OF,30,TSP Optimized,2025-12-02,2025-12-03,10,75154,304,0.2437,34.15
OF,30,Without Distance,2025-12-02,2025-12-03,10,75154,304,0.0795,38.14
