learning_rate,trees_per_update,initial_mae,final_mae,vs_baseline,improvement,volatility
0.01,25,8.263,7.4682,-0.7949,0.7949,1.2197
0.02,25,8.263,7.5611,-0.7019,0.7019,1.9114
0.005,25,8.263,7.6135,-0.6495,0.6495,0.7754
0.001,150,8.263,7.6171,-0.6459,0.6459,0.8849
0.005,50,8.263,7.6445,-0.6185,0.6185,1.2479
0.001,200,8.263,7.6705,-0.5925,0.5925,1.0433
0.003,150,8.263,7.6751,-0.588,0.588,1.7466
0.003,50,8.263,7.7063,-0.5567,0.5567,0.8829
0.01,50,8.263,7.7459,-0.5171,0.5171,1.818
0.003,100,8.263,7.762,-0.5011,0.5011,1.3934
0.001,100,8.263,7.8244,-0.4386,0.4386,0.617
0.003,25,8.263,7.8492,-0.4139,0.4139,0.5038
0.005,100,8.263,7.9578,-0.3053,0.3053,2.1729
0.005,150,8.263,7.9655,-0.2975,0.2975,3.5386
0.001,50,8.263,8.0142,-0.2489,0.2489,0.3519
0.003,200,8.263,8.0582,-0.2049,0.2049,3.0788
0.001,25,8.263,8.1064,-0.1567,0.1567,0.1905
0.01,200,8.263,8.4924,0.2294,-0.2294,51.7834
0.01,100,8.263,8.4954,0.2324,-0.2324,6.7119
0.01,150,8.263,8.6277,0.3647,-0.3647,18.2089
0.005,200,8.263,8.6413,0.3783,-0.3783,7.5227
0.02,100,8.263,8.6989,0.4358,-0.4358,43.2523
0.02,50,8.263,8.9395,0.6765,-0.6765,6.1202
0.02,150,8.263,10.7629,2.4999,-2.4999,146.104
0.02,200,8.263,11.9417,3.6787,-3.6787,741.6612
