ActivityCode,UserID,WorkCode,AssignmentID,ProductID,Quantity,Timestamp,LocationID
PickPut,499,30,8033743,47796.0,3.0,2025-12-02 00:00:13.887,4272288.0
PickPut,475,20,8037446,506.0,1.0,2025-12-02 00:00:40.097,5275404.0
PickPut,499,30,8033750,50340.0,8.0,2025-12-02 00:00:46.083,6618749.0
PickPut,497,20,8036557,40308.0,1.0,2025-12-02 00:00:46.117,163536.0
PickPut,475,20,8037499,42977.0,1.0,2025-12-02 00:00:50.633,6973382.0
PickPut,475,20,8037500,42977.0,1.0,2025-12-02 00:00:50.830,6973382.0
PickPut,435,20,8036315,43333.0,1.0,2025-12-02 00:00:51.927,14832.0
PickPut,476,20,8036513,2300.0,1.0,2025-12-02 00:01:00.873,69629.0
PickPut,476,20,8036514,2300.0,1.0,2025-12-02 00:01:01.050,69629.0
PickPut,476,20,8036515,2300.0,1.0,2025-12-02 00:01:01.240,69629.0
PickPut,499,30,8033750,45530.0,1.0,2025-12-02 00:01:21.167,4309064.0
PickPut,444,20,8036614,53896.0,1.0,2025-12-02 00:01:21.460,12245.0
PickPut,502,30,8033869,29961.0,2.0,2025-12-02 00:01:21.700,4724027.0
PickPut,444,20,8036615,53896.0,1.0,2025-12-02 00:01:21.923,12245.0
PickPut,444,20,8036616,53896.0,1.0,2025-12-02 00:01:22.537,12245.0
PickPut,444,20,8036617,53896.0,1.0,2025-12-02 00:01:22.950,12245.0
PickPut,502,30,8033882,29961.0,2.0,2025-12-02 00:01:23.153,4724027.0
PickPut,444,20,8036618,53896.0,1.0,2025-12-02 00:01:23.553,12245.0
PickPut,444,20,8036642,53896.0,1.0,2025-12-02 00:01:23.737,12245.0
PickPut,444,20,8036643,53896.0,1.0,2025-12-02 00:01:23.940,12245.0
PickPut,444,20,8036644,53896.0,1.0,2025-12-02 00:01:24.153,12245.0
PickPut,502,30,8033883,29961.0,2.0,2025-12-02 00:01:24.540,4724027.0
PickPut,475,20,8037447,148.0,1.0,2025-12-02 00:01:47.517,5533326.0
PickPut,217,20,8037016,288.0,1.0,2025-12-02 00:01:54.140,70580.0
PickPut,217,20,8037017,288.0,1.0,2025-12-02 00:01:54.340,70580.0
PickPut,217,20,8037018,288.0,1.0,2025-12-02 00:01:54.517,70580.0
PickPut,217,20,8037019,288.0,1.0,2025-12-02 00:01:54.730,70580.0
PickPut,217,20,8037020,288.0,1.0,2025-12-02 00:01:54.950,70580.0
PickPut,217,20,8037021,288.0,1.0,2025-12-02 00:01:55.233,70580.0
PickPut,476,20,8036481,21215.0,1.0,2025-12-02 00:01:55.490,53234.0
PickPut,217,20,8037022,288.0,1.0,2025-12-02 00:01:55.540,70580.0
PickPut,217,20,8037023,288.0,1.0,2025-12-02 00:01:55.793,70580.0
PickPut,217,20,8037024,288.0,1.0,2025-12-02 00:01:56.067,70580.0
PickPut,217,20,8037025,288.0,1.0,2025-12-02 00:01:56.437,70580.0
PickPut,217,20,8037026,288.0,1.0,2025-12-02 00:01:56.707,70580.0
PickPut,217,20,8037027,288.0,1.0,2025-12-02 00:01:57.080,70580.0
PickPut,499,30,8033751,43598.0,1.0,2025-12-02 00:02:02.523,4309064.0
PickPut,476,20,8036517,56815.0,1.0,2025-12-02 00:02:04.243,5172.0
PickPut,475,20,8037501,57024.0,1.0,2025-12-02 00:02:13.670,6963635.0
PickPut,143,30,8037897,52962.0,8.0,2025-12-02 00:02:29.683,4335.0
PickPut,499,30,8033729,28117.0,150.0,2025-12-02 00:02:29.853,4277319.0
PickPut,480,30,8035837,54205.0,10.0,2025-12-02 00:02:33.700,1215.0
PickPut,475,20,8037448,29028.0,1.0,2025-12-02 00:02:33.730,3876357.0
PickPut,476,20,8036518,50333.0,1.0,2025-12-02 00:02:35.167,6794.0
PickPut,461,30,8033440,5318.0,1.0,2025-12-02 00:02:36.820,6981011.0
PickPut,414,30,8035806,1205.0,4.0,2025-12-02 00:02:47.173,447.0
PickPut,499,30,8033743,1212.0,3.0,2025-12-02 00:03:04.797,4755960.0
PickPut,475,20,8037449,3871.0,1.0,2025-12-02 00:03:05.007,3970413.0
PickPut,480,30,8035870,28688.0,15.0,2025-12-02 00:03:05.750,1216.0
PickPut,435,20,8036814,55815.0,1.0,2025-12-02 00:03:15.250,42259.0
PickPut,476,20,8036516,9400.0,1.0,2025-12-02 00:03:21.953,462196.0
PickPut,497,20,8036558,54249.0,1.0,2025-12-02 00:03:27.743,2157.0
PickPut,480,30,8035776,23592.0,2.0,2025-12-02 00:03:32.907,9368.0
PickPut,501,20,8036818,46538.0,1.0,2025-12-02 00:03:34.073,2921339.0
PickPut,501,20,8036819,46538.0,1.0,2025-12-02 00:03:34.300,2921339.0
PickPut,501,20,8036820,46538.0,1.0,2025-12-02 00:03:34.500,2921339.0
